Date,GOOGL Adj. Close,GOOGL P/S (LTM),GOOGL P/FCF (LTM),GOOGL P/E (LTM),GOOGL Debt/Equity (LTM),actual_returns,sma_fast,sma_slow,ema_fast,ema_slow,std_dev,bb_upper,bb_lower,RSI,bb_upper_talib,bb_mid_talib,bb_lower_talib
2019-01-02,52.734,5.624312583147244,31.913618120461397,39.41372981295773,,,,,52.734,52.734,,,,,,,
2019-01-03,51.2735,5.466324052446367,31.017155564075672,38.306586998518696,,-0.027695604353927372,,,52.46845454545455,52.70507920792079,,,,,,,
2019-01-04,53.9035,5.753529497574423,32.64682403687683,40.3192485723093,,0.05129355319999607,,,52.72937190082644,52.72881031271444,,,,,,,
2019-01-07,53.796,5.741558031193692,32.5788952365535,40.23535562816376,,-0.0019943046369902406,,,52.92330428249436,52.7499427817696,,,,,,,
2019-01-08,54.2685,5.787965514376357,32.84222176300957,40.56056728317413,,0.008783180905643562,,,53.16788532204083,52.780013221734556,,,,,,,
2019-01-09,54.0825,5.773697407881971,32.76126130869052,40.46058007833823,,-0.0034274026368887878,,,53.33417889985159,52.80580503912595,,,,,,,
2019-01-10,53.9415,5.754530475559423,32.65250381172718,40.326263167473826,,-0.0026071279988907348,,,53.44460091806039,52.82829404825217,,,,,,,
2019-01-11,53.2235,5.680913351939692,32.23478364849041,39.81037338057802,,-0.013310716238888354,,,53.404400751140315,52.83611990868282,,,,,,,
2019-01-14,52.5755,5.612747577887977,31.84799567221567,39.332685243361794,,-0.012175073041043927,,,53.25369152366026,52.83095911841187,,,,,,,
2019-01-15,54.3255,5.7933436362481325,32.872738439507145,40.59825577207328,,0.033285465663664526,53.412400000000005,,53.44856579208566,52.86055398735421,,,,,,,
2019-01-16,54.4755,5.811616951288251,32.976425350460964,40.72631044384532,,0.002761134273959742,53.58655,,53.63528110261554,52.89253311631749,,,,,,,
2019-01-17,54.956,5.861250342707098,33.25805640782978,41.074128430517135,,0.008820478930895659,53.9548,,53.87541181123089,52.93339384668744,,,,,,,
2019-01-18,55.365,5.905540938952459,33.50937124035479,41.384505488666456,,0.007442317490355954,54.10095,,54.14624602737072,52.98154446358472,,,,,,,
2019-01-22,53.9315,5.7545093512312695,32.6523839475248,40.326115133638574,,-0.025891808904542568,54.1145,,54.1072012951215,53.00035546430581,,,,,,,
2019-01-23,54.2205,5.783497496596492,32.816869222396996,40.5292565686696,,0.005358649397847248,54.1097,,54.12780105964486,53.02451674224035,,,,56.834168543974975,,,
2019-01-24,54.2,5.777909767583509,32.78516318770481,40.49009920706676,,-0.0003780857793638237,54.12145,,54.14092813970943,53.04779363843361,,,,56.71903069489688,,,
2019-01-25,55.0755,5.8705496525880525,33.31082278948748,41.139295592134914,,0.016153136531365186,54.234849999999994,,54.31085029612589,53.087946239652744,,,,60.407984250642635,,,
2019-01-28,53.993,5.756600476337148,32.66424946301394,40.340769198239315,,-0.019654837450408857,54.31179999999999,,54.25305933319391,53.105868096293285,,,,54.25097005278825,,,
2019-01-29,53.503,5.705034264511112,32.37165114672085,39.979406505404796,,-0.009075250495434672,54.40455000000001,,54.116684908976836,53.113732094386485,,,,51.68307644267682,,,
2019-01-30,54.8995,5.855979615850184,33.22814911486871,41.03719253814181,,0.026101340111769566,54.46195,,54.2590149255265,53.149093835091705,0.9497479620653962,56.36144592413079,52.56245407586921,57.81204675700182,55.78857461312968,53.93717500000001,52.08577538687034
2019-01-31,56.2945,6.003802975828931,34.066932199895135,42.07310046184147,,0.02541006748695329,54.64385,,54.62910312088532,53.211379105683946,1.041605433428309,56.72706086685662,52.56063913314338,62.877757609525716,56.14566278961085,54.115200000000016,52.08473721038918
2019-02-01,55.931,5.969312247070057,33.87122402577883,41.8313983437146,,-0.006457113927648361,54.74135,,54.86581164436071,53.26523298477931,0.881122225152619,56.503594450305236,52.97910554969476,60.82814673428698,56.065698424238896,54.348075000000016,52.630451575761136
2019-02-04,57.071,5.780683276153166,34.64029892957253,26.018224949916515,,0.020382256709159607,54.911950000000004,,55.26675498174967,53.340594707852986,1.0629198105615587,57.037789621123125,52.786110378876884,64.71299684750936,56.578462159712316,54.506450000000015,52.434437840287714
2019-02-05,57.5935,5.83771640513379,34.98206555860196,26.28889421500584,,0.00915526274289924,55.27815,,55.68979953052246,53.42481065423213,1.2517411061040287,57.78163221220805,52.77466778779194,66.3597391058907,57.13641762682654,54.696325000000016,52.25623237317349
2019-02-06,56.1445,5.685922865084527,34.07245447083041,25.605324812188154,,-0.02515908913332232,55.47055,,55.77247234315473,53.47866588880179,1.2877656688090309,58.04608133761806,52.89501866238194,58.24234747736243,57.300442427635296,54.790125000000025,52.27980757236475
2019-02-07,55.2955,5.600820715646219,33.562486400402946,25.222085674006344,,-0.015121694912235473,55.580099999999995,,55.68575009894478,53.51464280189482,1.281232347503562,58.14256469500712,53.01763530499287,54.069003489130495,57.34835663980508,54.85077500000002,52.35319336019496
