Date,NVDA Adj. Close,NVDA P/S (LTM),NVDA P/FCF (LTM),NVDA P/E (LTM),NVDA Debt/Equity (LTM),actual_returns,ps_sma_fast,ps_sma_slow,ps_ema_fast,ps_ema_slow,pfcf_sma_fast,pfcf_sma_slow,pfcf_ema_fast,pfcf_ema_slow,pe_sma_fast,pe_sma_slow,pe_ema_fast,pe_ema_slow,ps_RSI,ps_bb_upper,ps_bb_mid,ps_bb_lower,pfcf_RSI,pfcf_bb_upper,pfcf_bb_mid,pfcf_bb_lower,pe_RSI,pe_bb_upper,pe_bb_mid,pe_bb_lower
2019-01-02,33.788894938344,6.689277089035582,24.511563421828907,18.203627255141036,,,,,6.689277089035582,6.689277089035582,,,24.511563421828907,24.511563421828907,,,18.203627255141036,18.203627255141036,,,,,,,,,,,,
2019-01-03,31.747472200548,6.285131218805345,23.03064896755162,17.103819207058443,,-0.06041697254441347,,,6.6157960217209935,6.681274200516171,,,24.242306248323942,24.482238383130348,,,18.003662155489653,18.181848877951282,,,,,,,,,,,,
2019-01-04,33.781453543188,6.687803896312992,24.50616519174041,18.19961823430963,,0.06406750527384952,,,6.628888362555902,6.681403501423039,,,24.29028060167239,24.482712181320647,,,18.03929053345692,18.18220074639402,,,,,,,,,,,,
2019-01-07,35.56986884568,7.0418612139752055,25.80353982300885,19.16311957412439,,0.05294074454805786,,,6.703974335541229,6.68854127790922,,,24.565418641915382,24.508867184126352,,,18.24362308630555,18.2016248815966,,,,,,,,,,,,
2019-01-08,34.684342822116,6.86655127998712,25.16115044247788,18.686046095186985,,-0.024895397489539728,,,6.733533779985937,6.692066228445416,,,24.673733514744924,24.521783684291727,,,18.3240636333749,18.211217380875617,,,,,,,,,,,,
2019-01-09,35.366470711416,7.001593946224441,25.65598820058997,19.05353967139927,,0.019666738182078092,,,6.782271992029301,6.698195490183615,,,24.852325275807658,24.54424317966397,,,18.456695640288423,18.227897030192917,,,,,,,,,,,,
2019-01-10,36.023793950195994,7.131725970053132,26.13283185840708,19.407669844840207,,0.018586056950483876,,,6.845809078942725,6.706780252161229,,,25.085144654462095,24.575700381223236,,,18.62960004111602,18.251258868106724,,,,,,,,,,,,
2019-01-11,36.916761368916,7.308509096763807,26.78061946902655,19.888752344609017,,0.02478826688700697,,,6.929936354910194,6.718695674826627,,,25.393412802564722,24.61936214533815,,,18.858536823569292,18.28368448150281,,,,,,,,,,,,
2019-01-14,37.316116242288,7.387570439542746,27.07032448377581,20.103903129227845,,0.010817711482899783,,,7.013142552116112,6.73194071967249,,,25.69830583551219,24.667896053029985,,,19.084967060961755,18.319728415121126,,,,,,,,,,,,
2019-01-15,37.174729734324,7.359579777813557,26.967758112094398,20.02773173343112,,-0.0037888859345917014,6.975960392851393,,7.076131138606556,6.744369215873303,25.562058997050148,,25.92911534034532,24.713437875981754,18.983782708932797,,19.25637881959255,18.353550263008454,,,,,,,,,,,,
2019-01-16,36.919241833968,7.309000161004668,26.78241887905605,19.890088684886152,,-0.006872622939881223,7.037932700048302,,7.1184709608607575,6.755550026667984,25.789144542772863,,26.084261438292724,24.75440779683471,19.152428851907306,,19.371598795100475,18.383976766411973,,,,,,,,,,,,
2019-01-17,37.633615768944,7.450426662373209,27.30064896755162,20.274954684701203,,0.019349637194302494,7.154462244405087,,7.17882654295393,6.769309960048285,26.21614454277286,,26.305422807248885,24.804828414076624,19.469542399671585,,19.535845320482423,18.421421873704826,,,,,,,,,,,,
2019-01-18,38.925938061036,7.706271131862824,28.238141592920357,20.971187969088845,,0.034339572897442716,7.256308967960071,,7.274725559119183,6.787863646618869,26.589342182890856,,26.656826222825515,24.87281481365769,19.746699373149504,,19.796816711138135,18.471912291435203,,,,,,,,,,,,
2019-01-22,36.901878578604,7.305562711318628,26.76982300884956,19.8807343029462,,-0.05199770598355957,7.282679117694412,,7.280332314064537,6.798115113246587,26.68597050147493,,26.677371093011704,24.910379332374358,19.818460846031687,,19.812074455103236,18.49980975700968,,,,,,,,,,,,
2019-01-23,37.03086276130799,7.331098051843503,26.86339233038348,19.95022399735725,,0.0034953283592120687,7.329133794880052,,7.2895624482061665,6.8086692308425665,26.85619469026549,,26.711193136170206,24.94905285708741,19.94487863624871,,19.837192553694873,18.52853083107597,61.63018330663817,,,,61.630183306638195,,,,61.63018330663815,,,
2019-01-24,39.151660380768,7.750957977781355,28.40188790560472,21.092794934308184,,0.057271083126800404,7.404070198035744,,7.373452544492563,6.827328413950265,27.13078466076696,,27.018592185158298,25.01742582834518,20.1488041625396,,20.065483895624567,18.579308338070664,67.03247585776961,,,,67.03247585776964,,,,67.0324758577696,,,
2019-01-25,39.72464780778,7.864393817420705,28.81755162241888,21.40148953832651,,0.014635073492144102,7.477336982772501,,7.4627145941158615,6.847864362533838,27.39925663716814,,27.345675719205673,25.09267584406941,20.348186131888234,,20.308394012479464,18.635193114313356,68.32986092097588,,,,68.3298609209759,,,,68.32986092097588,,,
2019-01-28,34.232898182651994,6.777177588150057,24.833657817109145,18.442832164748307,,-0.13824539494224186,7.424203831911126,,7.338071502122078,6.846464624427229,27.2045604719764,,26.888945191551755,25.087546774228613,20.203594113902163,,19.969200949255615,18.631383986599197,48.592078510905246,,,,48.592078510905246,,,,48.592078510905246,,,
2019-01-29,32.64292008432,6.462405409756883,23.68023598820059,17.58623804710439,,-0.04644590971668716,7.331687328932539,,7.178859485328406,6.8388594914634595,26.865551622418884,,26.305543518215178,25.059679233911226,19.951827605689815,,19.535934967046302,18.610688027401277,44.577256868947416,,,,44.577256868947416,,,,44.577256868947416,,,
2019-01-30,34.079109349427995,6.746731605216551,24.722094395280237,18.35997906756589,,0.04399696048632218,7.270402511672839,,7.100290779853523,6.837035176884313,26.640985250737465,,26.017643677681548,25.052994385621503,19.78505233910329,,19.32212480350441,18.60572349354315,48.70032588130648,7.963095318149502,7.123181452262115,6.283267586374727,48.7003258813065,29.179224201195403,26.101522123893808,23.023820046592213,48.700325881306455,21.670087371077848,19.384417524018048,17.098747676958247
